Bol Number,Arrival Date,Company Name,Supplier Name,Product Description,Port Of Entry,Shipping Port,Supplier Country,Weight
DMALMEXA05568,15.04.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,39.0
DMALMEXA05481,07.04.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,59.0
DMALMEXA05304,01.04.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,1872.0
DMALMEXA05288,01.04.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,51.0
DMALMEXA05119,25.03.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,38.0
DMALMEXA05167,25.03.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,251.0
DMALMEXA05015,22.03.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,69.0
DMALMEXA05060,22.03.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,584.0
DMALMEXA04835,14.03.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,59.0
DMALMEXA04881,14.03.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,385.0
DMALMEXA04661,07.03.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,90.0
DMALMEXA04563,07.03.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,277.0
DMALMEXA04696,07.03.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,249.0
DMALMEXA04468,21.02.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,242.0
DMALMEXA04508,21.02.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,104.0
DMALMEXA04422,21.02.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,68.0
DMALMEXA04231,20.02.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,66.0
DMALMEXA04037,05.02.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,62.0
DMALMEXA03925,29.01.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,62.0
DMALMEXA03834,29.01.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,17.0
DMALMEXA03694,16.01.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,65.0
DMALMEXA03545,08.01.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,103.0
DMALMEXA03224,29.12.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,157.0
DMALMEXA03258,29.12.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,71.0
DMALMEXA03056,20.12.19,Opel Automobile Gmbh,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,64.0
DMALMEXA02956,12.12.19,Opel Automobile Gmbh,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,87.0
DMALMEXA02729,04.12.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,79.0
DMALMEXA02547,28.11.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,69.0
DMALMEXA02203,13.11.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,95.0
DMALMEXA01761,23.10.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,50.0
DMALMEXA01578,16.10.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,82.0
DMALMEXA01273,09.10.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,63.0
OOLU262805383011,04.10.19,Bmw Ag,Akwel Orizaba Mexico Sa De Cv,Rubber Hose Textile Reinforcement Accessories,"Houston, Tx",Veracruz,Mexico,101.0
DMALMEXA01167,02.10.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,97.0
DMALMEXA00970,22.09.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,69.0
DMALMEXA00632,07.09.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,69.0
DMALMEXA00428,31.08.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,24.0
DMALMEXA00200,24.08.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,55.0
DMALMEXA00088,18.08.19,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,23.0
OOLU262541254007,12.08.19,Bmw Ag,Akwel Orizaba Mexico Sa De Cv,Rubber Hose Textile Reinforcement Accessories,"Houston, Tx",Veracruz,Mexico,317.0
OOLU271515343002,25.03.23,Bmw Ag,Autoneum Mexico Operations Sa De Cv,Under Hood Shield,"New Orleans, La",Tampico,Mexico,807.0
OOLU271515343001,25.03.23,Bmw Ag,Autoneum Mexico Operations Sa De Cv,Under Hood Shield,"New Orleans, La",Tampico,Mexico,772.0
MAEU225247948,24.03.23,Autoneum Mexico Operations Sa De Cv,Wellman International Limited,Sudu Bales Polyest Staple Fibre Carded Mbed Processed Spinning Wei Ght Mrku Bales Polyester Staple Fibre Carded Combed Pro Cessed Spinning,"New York/Newark Area, Newark, Nj",Rotterdam,Ireland,39789.34
EGLV511300002155,21.03.23,Autoneum Mexico Operations Sa De Cv,Wellman International Limited,Polyester Staple Fibre Polyester Staple Fibre Polyester Staple Fibre Cared Combed Processed Spinning Tax Amo,"Charleston, Sc",Anvers,Ireland,39824.0
SEAU224767359,04.03.23,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercaderi Transito Aduana Domicil Iaria General Motors Argen Tina Ncm,"Houston, Tx",Veracruz,Mexico,2769.68
OOLU271359602001,27.02.23,Bmw Ag Werk,Autoneum Mexico Operations Sa De Cv,Under Hood Shield Automotive Use,"Houston, Tx",Tampico,Mexico,908.0
OOLU271359602002,27.02.23,Bmw Ag Werk,Autoneum Mexico Operations Sa De Cv,Under Hood Shield Automotive Use,"Houston, Tx",Tampico,Mexico,772.0
MAEU224711556,22.02.23,Autoneum Mexico Operations Sa De Cv,Wellman International Limited,Mrsu Polyester Staple Fibre Carded Combed Rocessed Spinning Ight Tcnu Polyester Aple Fibre Carded Combed Processed Spinning,"New York/Newark Area, Newark, Nj",Rotterdam,Ireland,39792.51
MAEU224020348,22.02.23,Autoneum Mexico Operations Sa De Cv,Wellman International Limited,Mrku Polyester Staple Fibre Carded Combed Rocessed Spinning Trhu Polyeste Staple Fibre Carded Mbed Processed Spinning Weig,"New York/Newark Area, Newark, Nj",Rotterdam,Ireland,39786.62
MAEU223875546,14.02.23,Autoneum Mexico Operations Sa De Cv,Wellman Intl Ltd,Polyester Staple Fibre Car Ded Combed Processed Pinning,"New York/Newark Area, Newark, Nj",Rotterdam,Ireland,79613.15
MAEU223875455,14.02.23,Autoneum Mexico Operations Sa De Cv,Wellman International Ltd,Said Bales Bales Containe Cargo Polyester Staple Fibre Carded Combed Ocessed Spinning,"New York/Newark Area, Newark, Nj",Rotterdam,Ireland,79668.94
MAEU223430643,18.01.23,Autoneum Mexico Operations Sa De Cv,Wellman International Ltd,Said Bales Bales Containe,"New York/Newark Area, Newark, Nj",Rotterdam,Ireland,79677.11
MAEU223593168,18.01.23,Autoneum Mexico Operations Sa De Cv,Wellman International Limited,Mrsu Polyester Staple Fibre Carded Combed Processed Spinning Bal Ight Mrsu Polyester Staple Fibre Car Ded Combed Orprocessed Inning Bales,"New York/Newark Area, Newark, Nj",Rotterdam,Ireland,39685.46
OOLU271125981002,13.01.23,Bmw Ag Werk,Autoneum Mexico Operations Sa De Cv,Under Hood Shield,"New Orleans, La",Tampico,Mexico,1764.0
OOLU271125981001,13.01.23,Bmw Ag Werk,Autoneum Mexico Operations Sa De Cv,Under Hood Shield,"New Orleans, La",Tampico,Mexico,630.0
SEAU223204097,16.12.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti Ncm,"Houston, Tx",Veracruz,Mexico,2770.14
MAEU221640757,26.11.22,Autoneum Mexico Operations Sa De Cv,Wellman International Limited,Bales Polyester Staple Fibr Carded Combed Proces Sed Spinning,"New York/Newark Area, Newark, Nj",Rotterdam,Ireland,39864.64
MAEU222237503,26.11.22,Autoneum Mexico Operations Sa De Cv,Wellman International Limited,Polyester Staple Fibre Notcard Combed Processed Spi Nning,"New York/Newark Area, Newark, Nj",Rotterdam,Ireland,39887.32
OOLU270820489001,26.11.22,Bmw Ag Werk,Autoneum Mexico Operations Sa De Cv,Under Floor Coating Center,"New Orleans, La",Tampico,Mexico,772.0
OOLU270820489002,26.11.22,Bmw Ag Werk,Autoneum Mexico Operations Sa De Cv,Under Floor Coating Center,"New Orleans, La",Tampico,Mexico,588.0
OOLU270820489003,26.11.22,Bmw Ag Werk,Autoneum Mexico Operations Sa De Cv,Under Floor Coating Center,"New Orleans, La",Tampico,Mexico,405.0
DSVF0132100043,09.11.22,Ford Werke Gmbh,Autoneum Mexico Operations Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,39.0
SEAU830250875,27.10.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercaderia Transito Aduana Domicilia Ria General Motors Argenti,"Houston, Tx",Veracruz,Mexico,4408.99
DSVF0132090083,12.10.22,Ford Werke Gmbh,Autoneum Mexico Operations Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,85.0
SEAU830249447,05.10.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercadera Transito Aduana Domicilia Ria General Motors Argenti Ncm,"Houston, Tx",Veracruz,Mexico,1999.92
MAEU219758636,23.09.22,Autoneum Mexico Operations Sa De Cv,Doyle Shipping Group Ltd,Polyester Staple Fibre Car Ded Combed Processed Pinning,"New York/Newark Area, Newark, Nj",Rotterdam,Ireland,119436.96
MAEU220569081,02.09.22,Autoneum Mexico Operations Sa De Cv,Wellman Intl Ltd,Polyester Staple Fibre Car Ded Combed Processed Pinning,"New York/Newark Area, Newark, Nj",Rotterdam,Ireland,19613.21
SHPT90342719,24.08.22,Autoneum Mexico Operations Sa De Cv,Ripoche,Automotive,"Charleston, Sc",Le Havre,France,630.0
SEAU830243596,27.07.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercadera Transito Aduana Domicilia Ria General Motors Argenti Ncm,"Houston, Tx",Veracruz,Mexico,2769.68
SEAU830242892,27.07.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercadera Transito Aduana Domicilia Ria General Motors Argenti Ncm,"Houston, Tx",Veracruz,Mexico,2769.68
SEAU830243460,27.07.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domici Liaria General Motors Arge Ntina,"Houston, Tx",Veracruz,Mexico,2769.68
SEAU830243997,27.07.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercadera Transito Aduana Domicilia Ria General Motors Argenti Ncm,"Houston, Tx",Veracruz,Mexico,6106.82
NAQAMATM2255828V,21.07.22,Autoneum Mexico Operations Sa De Cv,Nowotex Gmbh & Co,Needleloom Felt,"Miami, Fl",Bremerhaven,Germany,670.0
MEDULF878390,17.06.22,Autoneum Mexico Operations Sa De Cv,Autoneum France,Accessories Motor Vehicles Hea Auto Accessories Motor Vehicles Hea Auto Payable Havre,"Norfolk, Va",Anvers,France,7683.0
SEAU218496397,16.06.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercaderia Transito Aduana Domicili Aria General Motors Argent Ina,"Houston, Tx",Veracruz,Mexico,2769.68
SEAU218248136,09.06.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domici Liaria General Motors Arge Ntina Ncm,"Houston, Tx",Veracruz,Mexico,6106.82
MAEU216788119,16.05.22,Autoneum Mexico Operations Sa De Cv,Wellman International Limited,Polyester Staple Fibre Car Ded Combed Processed Pinning,"Jacksonville, Fl",Rotterdam,Ireland,159197.27
SEAU217778719,08.05.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domici Liaria General Motors Arge Ntina Governmen Reference Ame Ncm Umber,"Houston, Tx",Veracruz,Mexico,2759.7
SEAU217886934,08.05.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercadera Transito Aduana Domicilia Ria General Motors Argenti,"Houston, Tx",Veracruz,Mexico,2769.68
SEAU217066087,01.05.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercader Nsito Aduana Domici Liaria General Motors Arge Ntina,"Houston, Tx",Veracruz,Mexico,2769.68
SEAU217565276,23.04.22,General Motors De Argentina S R L,Autoneum Mexico Operations Sa De Cv,Automotive Mercadera Transito Aduana Domicilia Ria General Motors Argenti Ncm,"Houston, Tx",Veracruz,Mexico,6106.82
