Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shanghai Lingang Joyson Safety Systems Co., Ltd.",Head curtain airbag,Curtain Airbag,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Ningbo Laolunsi Automotive Interior Co., Ltd.",Door trim,Door Trim,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"CIE Golde Management (Shanghai) Co., Ltd.(Formerly Inteva Management (Shanghai) Co., Ltd.)",Front door trim,Door Trim,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shanghai Lingang Joyson Safety Systems Co., Ltd.",Airbag,Driver Airbag,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shanghai Lingang Joyson Safety Systems Co., Ltd.",Driver airbag,Driver Airbag,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"HASCO Vision Technology (Shanghai) Co., Ltd. (Formerly Shanghai Koito Automotive Lamp Co., Ltd.)",Lamp,Exterior Lighting,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Magna International Inc.,Exterior mirror,Exterior Mirror,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Ningbo Huaxiang Electronic Co., Ltd.",Exterior mirror,Exterior Mirror,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Hella GmbH & Co. KGaA (FORVIA HELLA),Head lamp,Head Lamp,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Magna International Inc.,Headliner,Headliner,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shanghai Lingang Joyson Safety Systems Co., Ltd.",Knee airbag,Knee Airbag,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,HUAYU Automotive Systems Company Limited,Body side module,Molding (Body Side),Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shanghai Lingang Joyson Safety Systems Co., Ltd.",Passenger airbag,Passenger Airbag,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Magna International Inc.,Grille,Radiator Grille,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,Hella GmbH & Co. KGaA (FORVIA HELLA),Rear lamp,Rear Lamp,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Futuris Automotive Components (Wuxi) Co., Ltd.",Seat,Seat,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Yanfeng International Seating Systems Co., Ltd. (Formerly Yanfeng Adient Seating Co., Ltd.)",Seat,Seat,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Futuris Hi-Tech Auto Parts (Shanghai) Co., Ltd. (Formerly Adient (Shanghai) Seating Co., Ltd.)",Seat,Seat,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"WanFeng Meridian Lightweight Technology Co., Ltd.",Seat bracket,Seat,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Yanfeng International Seating Systems Co., Ltd. (Formerly Yanfeng Adient Seating Co., Ltd.)",Seat foam,Seat,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shanghai Lingang Joyson Safety Systems Co., Ltd.",Seat belt,Seat Belt,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shanghai Lingang Joyson Safety Systems Co., Ltd.",Side airbag,Side Airbag,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Shanghai Daimay Automotive Interior Co., Ltd.",Sun visor,Sun Visor,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"CIE Golde Management (Shanghai) Co., Ltd.(Formerly Inteva Management (Shanghai) Co., Ltd.)",Back door trim,Trunk / Tailgate Trim,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Anhui Zhongding Holding (Group) Co., Ltd.",Weatherstrip,Weatherstrip,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Fuyao Group (Shanghai) Automobile Glass Co., Ltd.",Front door window glass,Window Glass,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Fuyao Group (Shanghai) Automobile Glass Co., Ltd.",Front window glass,Window Glass,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Fuyao Group (Shanghai) Automobile Glass Co., Ltd.",Rear door window glass,Window Glass,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Fuyao Group (Shanghai) Automobile Glass Co., Ltd.",Rear quarter window glass,Window Glass,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Fuyao Group (Shanghai) Automobile Glass Co., Ltd.",Rear window glass,Window Glass,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,AGC Inc.,Window glass,Window Glass,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Exo-S Industrias, S.A. de C.V.",Floor A/C ventilator adaptor,A/C Ventilator,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Faurecia Interior Systems, Inc.",Instrument panel ventilator,A/C Ventilator,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Pacific Die Cut Industries, Inc.",Bumper double sided tape,Bumper,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Compagnie Plastic Omnium SE,Front bumper,Bumper,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Liaoyang Zhongwang Yachuang Trading Co., Ltd.",Front bumper ankle catcher,Bumper,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Blove Light Precision HK Co.,Ltd.",Parking assist retainer,Bumper,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Compagnie Plastic Omnium SE,Rear bumper,Bumper,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Autoliv ASP, Inc. - Auburn Hills Technical Center",Curtain airbag,Curtain Airbag,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Axiom Plastics Inc.,Front door closeout panel,Door Panel,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Multi Form Plastics Inc.,A pillar lower trim panel bracket,Door Trim,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Lens Technology (Vietnam) Co., Ltd.",B pillar trim,Door Trim,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Faurecia Duroplast, S.A. de C.V.",Door trim wood decoration,Door Trim,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Joyson Safety Systems (Formerly Key Safety Systems, Inc.)",Driver airbag,Driver Airbag,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,McKechnie Vehicle Components (MVC),Front T-badge,Emblem,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"LG Innotek Co., Ltd.",Left front repeater camera lamp assembly,Exterior Lighting,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Plastic Tec, S.A. de C.V. - Lerma",Carpet locator bracket,Floor Carpet,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Marelli Automotive Lighting USA LLC (Formerly Automotive Lighting LLC),Head lamp,Head Lamp,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Magneti Marelli Toluca México, S. de R.L. de C.V.",Head lamp assembly,Head Lamp,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Hella GmbH & Co. KGaA (FORVIA HELLA),Headlight housing,Head Lamp,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Marelli Automotive Lighting USA LLC (Formerly Automotive Lighting LLC),LED head lamp,Head Lamp,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Grupo Antolin-Irausa, S.A.",Modular headliner,Headliner,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Blove Light Precision HK Co.,Ltd.",Front headrest post guide assembly,Headrest,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Lear Mexican Trim Operations S. de R.L. de C.V. (Formerly Lear San Lorenzo, S.A. de C.V.)",Front seat headrest assembly,Headrest,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Faurecia Duroplast, S.A. de C.V.",Speaker grille assembly,Instrument Panel,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Ventra Sandusky LLC,Luggage room lamp,Interior Lighting,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,"Magna Mirrors of America, Inc.",Interior mirror (with monocular camera),Interior Mirror,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Autoliv Inc.,Front passenger knee airbag,Knee Airbag,Interior_Exterior
Americas,Tesla,Tesla,Model 3 (USA),2021,Joyson Safety Systems Aschaffenburg GmbH (Formerly Takata AG),Front passenger knee airbag,Knee Airbag,Interior_Exterior
