Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Brake booster bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Brake line bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Brake pedal bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Cabin filter bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,Norm Civata San. Ve Tic. A.S.,Center tunnel trim bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,EFC International,Center tunnel trim clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Center tunnel trim spring washer,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Charge port clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Cluster screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Coolant reservoir bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,Norm Civata San. Ve Tic. A.S.,Cooling system bolt for front traction motor,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,Norm Civata San. Ve Tic. A.S.,Dash panel bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Dash panel clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Faurecia Duroplast, S.A. de C.V.",Dash panel U clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,QST International Corp.,Dash support frame bolt,Fastener,General/Smallparts
