Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
Americas,Tesla,Tesla,Model 3 (USA),2022,Sanden Corporation (Formerly Sanden Holdings Corporation),A/C compressor pump,A/C Compressor,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2022,Robert Bosch Mexico SA de C.V.,Airbag ECU,Airbag ECU,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2022,Freudenberg SE,Cabin air filter,Cabin Air Filter,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2022,Harman Becker Automotive Systems GmbH,Radio receiver,Car Audio,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2022,Seger Ses Ve Elektrikli Gerecler San. A. S.,Horn,Horn,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2022,Continental AG,Front radar sensor,Milliwave and Laser Radar / LiDAR,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2022,"Inteva Products, LLC",Front power window motor,Motor / Actuator,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2022,Bosch [Robert Bosch GmbH],Front wiper motor,Motor / Actuator,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2022,"Inteva Products, LLC",Rear power window motor,Motor / Actuator,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2022,TE Connectivity Ltd. (Formerly Tyco Electronics Ltd.),High-voltage DC relay,Relay / Fuse,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2022,"Xi'an Sinofuse Electric Co., Ltd.",High-voltage fuse,Relay / Fuse,Electrical
Americas,Tesla,Tesla,Model 3 (USA),2022,Continental AG,Tire pressure monitoring system ECU,Tire Pressure Monitoring System,Electrical
Americas,Tesla,Tesla,Model S (USA),2022,Aptiv PLC (Formerly Delphi Automotive PLC),Connector housing,Electrical Connector,Electrical
Americas,Tesla,Tesla,Model S (USA),2022,Aptiv PLC (Formerly Delphi Automotive PLC),Electrical connector,Electrical Connector,Electrical
Americas,Tesla,Tesla,Model S (USA),2022,Robert Bosch doo - Serbia,Front wiper motor,Motor / Actuator,Electrical
Americas,Tesla,Tesla,Model S (USA),2022,Bussmann Asia-Pacific,Main fuse box,Relay / Fuse,Electrical
Americas,Tesla,Tesla,Model S (USA),2022,Aptiv PLC (Formerly Delphi Automotive PLC),High-voltage wiring harness,Wiring Harness,Electrical
Americas,Tesla,Tesla,Model S (USA),2022,Aptiv PLC (Formerly Delphi Automotive PLC),Low-voltage wiring harness,Wiring Harness,Electrical
Americas,Tesla,Tesla,Model S (USA),2022,Champlain Cable Corp.,Main wiring harness,Wiring Harness,Electrical
Americas,Tesla,Tesla,Model X (USA),2022,"Wuhu Token Sciences Co., Ltd.",Central control screen,Display,Electrical
Americas,Tesla,Tesla,Model X (USA),2022,Valeo North America,Front wiper motor,Motor / Actuator,Electrical
China,Tesla China,Tesla,Model Y (4WD) (China),2022,"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Electronic expansion valve,Air Conditioning / HVAC,Electrical
